name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Ottawa,Canada",2024-01-12,-4.8,-10.7,-6.3,-5.2,-14.4,-10.9,-10.8,71.2,0.015,100,4.17,snow,0.3,9,46.4,33.1,62.6,1019.3,68.6,22,39.7,3.3,2,10,2024-01-12T07:40:36,2024-01-12T16:41:43,0.04,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"CXKE,CYOW,E3670,71063099999,71628099999,CTCK,CXOA,71304199999,71300099999"
"Ottawa,Canada",2024-01-13,2.1,-7,-2,-2.6,-16.6,-8.5,-4.3,85.1,16.979,100,66.67,"rain,snow",31.3,31.8,60.8,38.8,131.2,991.3,91.2,8.5,10.9,1,1,10,2024-01-13T07:40:09,2024-01-13T16:42:57,0.08,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"CXKE,CYOW,E3670,71628099999,71063099999,CTCK,CXOA,71304199999,71300099999"
"Ottawa,Canada",2024-01-14,-3,-8.1,-4.8,-9.5,-14.1,-11.6,-10.6,64.3,0.095,100,12.5,snow,1.8,36.6,52.9,37.7,245.5,1002.7,77.7,22.1,36.3,3.3,2,10,2024-01-14T07:39:39,2024-01-14T16:44:12,0.11,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-01-15,-7.1,-12.1,-9.3,-11.8,-19,-15.9,-15.1,63.3,0,0,0,snow,0.1,37.3,38.9,24.2,226.3,1018.1,55.8,24,42.7,3.8,2,10,2024-01-15T07:39:07,2024-01-15T16:45:28,0.15,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-01-16,-7.3,-15.4,-10.4,-7.3,-19.6,-13.6,-13.2,80.4,1.732,100,37.5,snow,3,36.8,14.4,17.4,179.8,1014.2,81.5,14.5,13.5,1.2,1,10,2024-01-16T07:38:32,2024-01-16T16:46:45,0.18,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CXKE,CYOW,E3670,71063099999,71628099999,CTCK,CXOA,71304199999,71300099999"
"Ottawa,Canada",2024-01-17,-8.9,-17.8,-12.8,-14.7,-24.6,-18.7,-16.8,72.7,0,0,0,snow,0,38.2,33.1,20.6,226.6,1009.7,60.4,24,23.5,2,1,10,2024-01-17T07:37:55,2024-01-17T16:48:03,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,CYOW,E3670,71063099999,71628099999,CTCK,CXOA,71304199999,71300099999"
"Ottawa,Canada",2024-01-18,-6.8,-11.7,-9.9,-7.2,-18,-13.6,-13.9,72.6,0,0,0,,0,38.4,27.7,14.7,235.9,1015.4,75.7,23.4,41.8,3.6,2,10,2024-01-18T07:37:16,2024-01-18T16:49:23,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-01-19,-9.1,-17.9,-14.9,-15.9,-25.3,-22,-20,65.9,0,0,0,,0,37.5,23,18.7,337.7,1017.8,58.8,24,44.9,3.9,2,10,2024-01-19T07:36:34,2024-01-19T16:50:43,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,CYOW,E3670,71063099999,71628099999,CTCK,CXOA,71304199999,71300099999"
"Ottawa,Canada",2024-01-20,-10.9,-16.9,-13.6,-18.2,-25.7,-21.3,-17.9,70.2,0.033,100,12.5,snow,0.8,36.8,37.1,26.1,302,1018.3,84.4,20.5,44,3.8,2,10,2024-01-20T07:35:50,2024-01-20T16:52:04,0.32,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-01-21,-9.8,-17.8,-14,-14.1,-25.6,-19.9,-18.6,68.8,0,0,0,,0,37.3,27.7,18.4,275.7,1028.9,42.3,21.5,49.1,4.4,4,10,2024-01-21T07:35:04,2024-01-21T16:53:26,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-01-22,-1.3,-13.7,-4.9,-4.8,-19.5,-10.7,-8.8,74.9,1.256,100,25,snow,1.9,37.8,46.1,29.6,221.8,1026.4,64.8,17.8,38.6,3.3,2,10,2024-01-22T07:34:15,2024-01-22T16:54:48,0.39,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-01-23,-0.8,-7.2,-2.7,-3.3,-14.1,-6.9,-7.3,71.4,0.084,100,8.33,"rain,snow",0,39.5,35.3,20.5,18.8,1032.3,86.8,19.3,34.1,2.8,3,10,2024-01-23T07:33:24,2024-01-23T16:56:12,0.43,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-01-24,-4.1,-10.3,-8.1,-6.6,-17.9,-13.9,-9.7,88.1,3.227,100,66.67,"freezingrain,snow",3.8,42.2,35.3,21.9,72.4,1029.1,93.2,6.7,16.3,1.4,1,10,2024-01-24T07:32:31,2024-01-24T16:57:36,0.46,"Snow, Freezing Drizzle/Freezing Rain, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"CXKE,CYOW,E3670,71063099999,71628099999,CTCK,CXOA,71304199999,71300099999"
"Ottawa,Canada",2024-01-25,0.7,-3.9,-1,0.7,-6.2,-2.9,-2.1,92.5,2.888,100,37.5,"rain,freezingrain,snow",0.2,42.2,18.7,11.4,352.1,1023.3,85.6,10.8,31.7,2.6,2,10,2024-01-25T07:31:36,2024-01-25T16:59:00,0.5,"Snow, Rain, Freezing Drizzle/Freezing Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-01-26,1.8,-0.9,0.6,1,-5.7,-2.9,-0.5,92.7,8.326,100,50,"rain,freezingrain,snow",2,35.3,31.7,17.1,37.4,1020.3,94.4,12.4,22.6,1.9,2,10,2024-01-26T07:30:38,2024-01-26T17:00:25,0.53,"Snow, Rain, Freezing Drizzle/Freezing Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-01-27,1.2,0,0.6,1,-2.2,-0.2,-0.2,94.2,0.281,100,25,"rain,snow",0,31.9,10.1,9.1,182.7,1023.8,91.2,7.8,21.3,1.8,1,10,2024-01-27T07:29:39,2024-01-27T17:01:51,0.56,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"CXKE,CYOW,E3670,71063099999,71628099999,CTCK,CXOA,71304199999,71300099999"
"Ottawa,Canada",2024-01-28,2,0,0.8,0.2,-2.9,-1.2,-0.9,89.1,0,0,0,snow,0,29.9,24.5,14.7,34.3,1016.5,89.6,11,28,2.4,2,10,2024-01-28T07:28:37,2024-01-28T17:03:17,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-01-29,0.7,-6.2,-2,-1,-7.6,-5.3,-5.9,75.3,0.004,100,8.33,"rain,snow",0,28.5,27.7,20.2,1.6,1016.9,62.1,23.3,38.8,3.3,2,10,2024-01-29T07:27:33,2024-01-29T17:04:43,0.63,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-01-30,-3.3,-7.1,-5.6,-7,-13.7,-10.6,-9.9,72.6,0,0,0,snow,0.1,28.5,25.9,20.7,81.9,1022.6,83.2,23.8,49.7,4.2,2,10,2024-01-30T07:26:28,2024-01-30T17:06:10,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-01-31,2,-7.3,-3.4,0.2,-12.6,-5.6,-6.5,79.8,0,0,0,snow,0,28.1,25.9,12.9,113.7,1017.2,91.3,17,33.2,3,2,10,2024-01-31T07:25:20,2024-01-31T17:07:37,0.7,Overcast,Cloudy skies throughout the day.,cloudy,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-01,3.1,1.1,2.1,0.6,-3.8,-1.1,0.2,87.5,0.168,100,25,"rain,snow",0,24,34.6,20,228.9,1010.2,92.9,18.2,19.2,1.9,1,10,2024-02-01T07:24:11,2024-02-01T17:09:04,0.73,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"CXKE,CYOW,E3670,71063099999,71628099999,CTCK,CXOA,71304199999,71300099999"
"Ottawa,Canada",2024-02-02,2,-3,-0.5,-0.7,-7.9,-5,-3.8,78.2,0,0,0,,0,21.4,35.3,23.8,353.5,1018.3,75.6,23.7,36.4,3.3,2,10,2024-02-02T07:23:00,2024-02-02T17:10:31,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-03,-1.9,-6.8,-3.8,-1.9,-10.6,-5.6,-8.3,71.1,0,0,0,,0,20.1,14.4,9.8,1.2,1022.5,74.5,24,50.1,4.4,3,10,2024-02-03T07:21:47,2024-02-03T17:11:59,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-04,-0.3,-6.4,-2.9,-0.3,-10.2,-4.6,-6.7,74.8,0,0,0,snow,0,18.8,10.1,9.3,66.5,1018.8,69.3,23.6,48.5,4.2,2,10,2024-02-04T07:20:32,2024-02-04T17:13:26,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-05,2.7,-5,-1.2,0.7,-10.1,-4.5,-8.5,59.4,0,0,0,,0,17.2,20.2,16.2,8.9,1020.4,21.7,24,71.9,6.1,4,10,2024-02-05T07:19:15,2024-02-05T17:14:54,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-06,1.1,-8,-4,1.1,-11.1,-5.7,-10.3,63,0,0,0,,0,15,14.4,11.2,70.6,1026.4,22.1,24,74.5,6.6,4,10,2024-02-06T07:17:57,2024-02-06T17:16:22,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-07,0.2,-9,-4.3,0.2,-11,-5.4,-8.3,75.1,0,0,0,snow,0,13.1,13,7.7,75.9,1027.4,66.3,24,43.3,3.6,2,10,2024-02-07T07:16:37,2024-02-07T17:17:50,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-08,3.9,-6.2,-0.7,1,-9.2,-3.2,-5.9,69.1,0,0,0,,0,10.2,23,15.2,78.4,1023.8,54.9,24,62.1,5.5,4,10,2024-02-08T07:15:16,2024-02-08T17:19:17,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-09,8.2,-0.9,3.7,7.2,-4.2,1.1,-0.9,72.5,1.207,100,12.5,rain,0,5.5,33.1,19.9,145.9,1010.9,82.9,24,48.1,4.1,2,10,2024-02-09T07:13:53,2024-02-09T17:20:45,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-10,6.1,3.2,4.8,4.4,0.1,2.1,1.6,80.4,0.181,100,8.33,rain,0,3.7,33.1,20,250.5,1006.1,68,23.4,36.2,3.2,2,10,2024-02-10T07:12:28,2024-02-10T17:22:13,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-11,3.1,0.9,2.1,0.6,-3.1,-1.3,-3.4,66.7,0,0,0,snow,0,3.4,33.1,20.7,271.7,1012.1,79.3,24,50.2,4.4,2,10,2024-02-11T07:11:02,2024-02-11T17:23:40,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-12,2.2,-4.1,0,0.7,-4.1,-2.3,-5.5,67.9,0,0,0,snow,0.1,2.2,21.6,13.1,267.6,1012.1,68.7,24,62.6,5.6,4,10,2024-02-12T07:09:35,2024-02-12T17:25:07,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-13,3.6,-7.8,-2.9,3.6,-16.7,-5.6,-7.3,73.8,0.015,100,12.5,snow,0.2,6.2,48.1,32.2,332.6,1007.7,49.4,19.8,81.4,7,4,10,2024-02-13T07:08:06,2024-02-13T17:26:35,0.13,"Snow, Partially cloudy",Becoming cloudy in the afternoon with late afternoon snow.,snow,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-14,-5,-10,-7.9,-11.7,-18.9,-15.6,-14.8,58.1,0.03,100,4.17,snow,0,4.7,48.3,32.1,302.5,1018.5,43,24,117.3,10,5,10,2024-02-14T07:06:36,2024-02-14T17:28:02,0.16,"Snow, Partially cloudy",Clearing in the afternoon with early morning snow.,snow,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-15,-4,-11.4,-7.5,-8.3,-14.9,-11.8,-12.6,68.5,3.32,100,20.83,snow,3.4,4.5,40.3,21,75,1016.2,62.5,19.4,62.3,5.3,3,10,2024-02-15T07:05:04,2024-02-15T17:29:28,0.2,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"CXKE,CYOW,CYND,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-16,-2.2,-9,-5.5,-8.2,-14.4,-11.1,-9.3,75.5,1.899,100,25,snow,1.7,9.3,38.1,24.1,300.6,1010.2,68.1,18.6,51.7,4.5,4,10,2024-02-16T07:03:31,2024-02-16T17:30:55,0.25,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-17,-8.3,-15,-10.9,-13.2,-20.2,-16.6,-16.6,64.3,0,0,0,snow,0,8.3,37.1,25.9,291.3,1010.2,50.5,23.7,122.8,10.5,6,10,2024-02-17T07:01:57,2024-02-17T17:32:22,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-18,-1.3,-13.4,-6.3,-6.9,-19.2,-12,-9.7,77.3,1.868,100,75,"rain,snow",5.4,8.9,46.1,27.7,231.7,1002.5,83.1,11.5,11.8,1.2,1,10,2024-02-18T07:00:22,2024-02-18T17:33:48,0.3,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"CXKE,CYOW,E3670,71063099999,71628099999,CTCK,CXOA,71304199999,71300099999"
"Ottawa,Canada",2024-02-19,-7.8,-14.1,-11.3,-11.2,-22.1,-17.6,-18,58.3,0.003,100,4.17,snow,0,8.9,44.5,28.3,288.7,1022.7,30.2,24,125.6,10.8,6,10,2024-02-19T06:58:46,2024-02-19T17:35:14,0.33,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"CXKE,CYOW,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-20,-6.3,-11.3,-9.4,-6.3,-17.7,-13.6,-14.8,64.8,0,0,0,snow,0.4,8.4,17.3,12.7,76.9,1031.6,68.7,21.1,57.2,4.9,2,10,2024-02-20T06:57:08,2024-02-20T17:36:39,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-21,4,-12.3,-4.9,1.1,-19,-9,-10,68.9,0,0,0,,0,6.6,36,14.8,76.3,1024.1,56.1,22.7,117.8,10.2,5,10,2024-02-21T06:55:30,2024-02-21T17:38:05,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-22,6.2,1,3.1,3.6,-1.4,0.4,-1,75.1,0.658,100,33.33,"rain,freezingrain,snow",1.2,3.6,31.7,17.7,181.1,1007.6,83.3,20.7,102.3,8.9,5,10,2024-02-22T06:53:50,2024-02-22T17:39:30,0.44,"Snow, Rain, Freezing Drizzle/Freezing Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-23,4.1,-10.8,-0.8,0.7,-18.6,-5.4,-4.1,79.3,0.083,100,4.17,"rain,snow",0,3,39.9,28,297.8,1001,75.4,17.8,45,4.1,4,10,2024-02-23T06:52:10,2024-02-23T17:40:55,0.47,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-24,-9.8,-16.8,-12.9,-12,-25.7,-19.9,-20.9,51.7,0,0,0,,0,2.9,33.4,24,328.4,1014.9,14.3,24,142.3,12.2,6,10,2024-02-24T06:50:28,2024-02-24T17:42:19,0.5,Clear,Clear conditions throughout the day.,clear-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-25,1.1,-13.3,-5.5,-1.8,-16.7,-8.2,-10.6,68.1,0.332,100,4.17,snow,2.4,1.9,38.7,24.2,184.6,1013.6,56.1,23.1,78.7,6.9,4,10,2024-02-25T06:48:46,2024-02-25T17:43:44,0.54,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-26,3.9,-0.7,1.3,1.7,-3.9,-1.6,-5.7,61.4,0.078,100,12.5,"rain,snow",0.5,1.6,38.9,26.4,280.7,1012.8,61.3,22.2,145,12.7,6,10,2024-02-26T06:47:03,2024-02-26T17:45:08,0.57,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,snow,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-27,10,-1.3,3.9,10,-5.3,1.5,-3.1,60.9,0,0,0,,0,2.1,33.1,13.5,81.1,1007.2,70.2,23.8,112.6,9.7,5,10,2024-02-27T06:45:19,2024-02-27T17:46:32,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-02-28,15,-12.3,5.1,15,-23.3,2,2,81.2,1.806,100,25,"rain,snow",0.1,2.7,64.6,42.3,254.8,996.4,85.3,20.3,23.1,1.9,3,10,2024-02-28T06:43:34,2024-02-28T17:47:55,0.64,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71304199999,71300099999"
"Ottawa,Canada",2024-02-29,-7.7,-13.1,-11,-14.8,-22.8,-19.3,-20.1,48.2,0,0,0,,0,4.2,53.7,33.5,289.6,1023.5,29.7,24,166.2,14.5,6,10,2024-02-29T06:41:48,2024-02-29T17:49:18,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-03-01,5.2,-12.1,-3.1,2.9,-17.3,-6.5,-9.7,60.8,0,0,0,,0,6.2,31.3,20.4,203.2,1029.8,48,24,129.2,11.2,6,10,2024-03-01T06:40:01,2024-03-01T17:50:41,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-03-02,5.7,-3.2,1.3,3.3,-5.5,-0.1,-0.9,85.6,0.089,100,16.67,rain,0.1,3.4,30.2,20,136.1,1024.2,75.3,17.5,49.7,4.2,3,10,2024-03-02T06:38:14,2024-03-02T17:52:04,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"CXKE,E2286,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-03-03,7.7,1.3,3.8,7.7,-0.5,3.4,2.5,91.6,0,0,0,rain,0,2.2,10.1,9.3,22.7,1025.3,81,13.3,56.4,5,2,10,2024-03-03T06:36:27,2024-03-03T17:53:26,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-03-04,10.4,1.9,4.8,10.4,-1.7,2.4,3,89.1,0,0,0,rain,0,0.9,25.9,20.2,76,1024.9,64.1,15.3,116.7,10.3,6,10,2024-03-04T06:34:38,2024-03-04T17:54:48,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71304199999,71300099999"
"Ottawa,Canada",2024-03-05,16.3,1.7,8.5,16.3,-0.5,7.4,4.8,79.5,0.937,100,8.33,rain,0,0,34.6,22.3,120.2,1016.7,60.2,22.5,89.1,7.9,4,10,2024-03-05T06:32:49,2024-03-05T17:56:10,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
